Brand,Region,Month,Forecasted_TRx,DATE
ALPHATUMAB,Mid-Atlantic,24,10616.569346229953,2024-07-01
ALPHATUMAB,Mid-Atlantic,25,11374.813248153081,2024-08-01
ALPHATUMAB,Mid-Atlantic,26,11156.823131908024,2024-09-01
ALPHATUMAB,Mid-Atlantic,27,11219.493851263644,2024-10-01
ALPHATUMAB,Mid-Atlantic,28,11201.476433170543,2024-11-01
ALPHATUMAB,Mid-Atlantic,29,11206.656321930068,2024-12-01
ALPHATUMAB,Mid-Atlantic,30,11205.167138106814,2025-01-01
ALPHATUMAB,Mid-Atlantic,31,11205.595268625131,2025-02-01
ALPHATUMAB,Mid-Atlantic,32,11205.472183927424,2025-03-01
ALPHATUMAB,Mid-Atlantic,33,11205.50756996547,2025-04-01
ALPHATUMAB,Mid-Atlantic,34,11205.497396713134,2025-05-01
ALPHATUMAB,Mid-Atlantic,35,11205.500321456022,2025-06-01
ALPHATUMAB,Mid-Atlantic,36,11205.499480611748,2025-07-01
ALPHATUMAB,Mid-Central,24,15221.779934150822,2024-07-01
ALPHATUMAB,Mid-Central,25,14689.600952416231,2024-08-01
ALPHATUMAB,Mid-Central,26,14509.921430034636,2024-09-01
ALPHATUMAB,Mid-Central,27,14449.25625558891,2024-10-01
ALPHATUMAB,Mid-Central,28,14428.773880403638,2024-11-01
ALPHATUMAB,Mid-Central,29,14421.858418657037,2024-12-01
ALPHATUMAB,Mid-Central,30,14419.52355218105,2025-01-01
ALPHATUMAB,Mid-Central,31,14418.735231507688,2025-02-01
ALPHATUMAB,Mid-Central,32,14418.469070898316,2025-03-01
ALPHATUMAB,Mid-Central,33,14418.379207125394,2025-04-01
ALPHATUMAB,Mid-Central,34,14418.348866431093,2025-05-01
ALPHATUMAB,Mid-Central,35,14418.338622506308,2025-06-01
ALPHATUMAB,Mid-Central,36,14418.335163851278,2025-07-01
ALPHATUMAB,Midwest,24,12627.212828099826,2024-07-01
ALPHATUMAB,Midwest,25,12704.600221624272,2024-08-01
ALPHATUMAB,Midwest,26,12714.798923679005,2024-09-01
ALPHATUMAB,Midwest,27,12716.142986566567,2024-10-01
ALPHATUMAB,Midwest,28,12716.320117444204,2024-11-01
ALPHATUMAB,Midwest,29,12716.34346110476,2024-12-01
ALPHATUMAB,Midwest,30,12716.346537510723,2025-01-01
ALPHATUMAB,Midwest,31,12716.346942943008,2025-02-01
ALPHATUMAB,Midwest,32,12716.346996373972,2025-03-01
ALPHATUMAB,Midwest,33,12716.347003415513,2025-04-01
